epoch,f1-score,iou_score,loss,lr,val_f1-score,val_iou_score,val_loss
0,0.35233644,0.30687937,0.781085260569478,1e-04,0.7050419449806213,0.663272500038147,0.6731881499290466
1,0.37507343,0.33119938,0.6971686008258369,1e-04,0.8424076437950134,0.805050253868103,0.6240062117576599
2,0.3836312,0.34204924,0.6697573518981568,1e-04,0.9020217061042786,0.8688569068908691,0.6074116230010986
3,0.3940277,0.35369495,0.6520688926069119,1e-04,0.9021018743515015,0.870665967464447,0.5961040258407593
4,0.3995448,0.36070016,0.6399280312724007,1e-04,0.8474088311195374,0.8165206909179688,0.5981448888778687
5,0.4027757,0.36485058,0.6359616788431478,1e-04,0.8761027455329895,0.8431628346443176,0.5888828635215759
6,0.40835255,0.37066966,0.6293494232927268,1e-04,0.8893299698829651,0.8585371375083923,0.5823003649711609
7,0.41215032,0.37530825,0.6254977311570042,1e-04,0.8800021409988403,0.8500728607177734,0.5786518454551697
8,0.41446903,0.37880468,0.6201529678064414,1e-04,0.8696796894073486,0.8389951586723328,0.5779894590377808
9,0.41834125,0.3828779,0.620942011999246,1e-04,0.8474155068397522,0.8180258274078369,0.5787143111228943
10,0.42021218,0.3856029,0.6165766546520562,1e-04,0.8742195963859558,0.842837393283844,0.5731000304222107
11,0.425094,0.39020568,0.61666289571756,1e-04,0.8855211734771729,0.8558762073516846,0.5719970464706421
12,0.4295666,0.39519754,0.6154963117057142,1e-04,0.8752173185348511,0.8452016711235046,0.5703721642494202
13,0.43027723,0.39572015,0.6101149996629538,1e-04,0.9228737950325012,0.8943486213684082,0.5758418440818787
14,0.4355454,0.40138486,0.6091157479788929,1e-04,0.8823269605636597,0.8533331751823425,0.5702250599861145
15,0.4414157,0.40760252,0.6111864923669127,1e-04,0.8973459005355835,0.8685265779495239,0.5689129829406738
16,0.43935966,0.40677047,0.6040308060356603,1e-04,0.8740655779838562,0.8425750136375427,0.5725254416465759
17,0.44355315,0.41049317,0.6058163660022017,1e-04,0.9163970351219177,0.8860951066017151,0.5701965093612671
18,0.43432102,0.40176794,0.6029083096562102,1e-04,0.8822944164276123,0.8541070222854614,0.5666879415512085
19,0.4444557,0.41142508,0.604721582354829,1e-04,0.895851731300354,0.867940366268158,0.569163978099823
20,0.44052446,0.4081229,0.6008868840174934,1e-04,0.8913595080375671,0.8622485399246216,0.5736549496650696
21,0.4424434,0.40959373,0.6045888237678967,1e-04,0.8770110011100769,0.8462849259376526,0.5754343271255493
22,0.44688347,0.4145326,0.6033647018499648,1e-04,0.8972830772399902,0.8679796457290649,0.5668606758117676
23,0.45231327,0.42022246,0.6008930421484926,1e-04,0.8889788389205933,0.858380913734436,0.5680339336395264
24,0.45864016,0.42669195,0.5999151641568436,5e-06,0.9016099572181702,0.8720216155052185,0.5675966143608093
25,0.46617794,0.43456617,0.599434678927778,5e-06,0.9090696573257446,0.8797100782394409,0.5671876668930054
26,0.46472543,0.43332216,0.5983684963692492,5e-06,0.9115084409713745,0.8823520541191101,0.567562460899353
27,0.44311363,0.41166472,0.6006216052622079,5e-06,0.9063511490821838,0.8771143555641174,0.5665250420570374
28,0.46558937,0.4346996,0.5945497008558279,5e-06,0.9079371690750122,0.8788345456123352,0.5663297772407532
29,0.44840866,0.41635752,0.6007301895001445,5e-06,0.9104891419410706,0.881589412689209,0.5667316317558289
30,0.46781084,0.4367014,0.5950337090431311,5e-06,0.9022794961929321,0.8729267716407776,0.56675124168396
31,0.45572722,0.42482564,0.5967938536272263,5e-06,0.9100513458251953,0.8811609148979187,0.5661576986312866
32,0.45402473,0.42312768,0.5950163343843942,5e-06,0.9056433439254761,0.8764208555221558,0.5671283602714539
33,0.46082157,0.43029118,0.5952938176191653,5e-06,0.9113671183586121,0.8828761577606201,0.5668018460273743
34,0.45837048,0.4275677,0.5976799345625856,5e-06,0.908035933971405,0.8790250420570374,0.5667255520820618
35,0.46465835,0.4334753,0.5967676304399777,5e-06,0.9059536457061768,0.8775147199630737,0.5665919184684753
36,0.46643734,0.43558788,0.5956747948932952,5e-06,0.9045659899711609,0.8760820627212524,0.5670859217643738
37,0.45362633,0.42277452,0.5966414201754732,1e-06,0.9056309461593628,0.8770451545715332,0.567070484161377
38,0.45462918,0.42320836,0.5979304898280305,1e-06,0.9029358625411987,0.8745704293251038,0.5661119818687439
39,0.45158854,0.4209676,0.595541839401562,1e-06,0.9092507362365723,0.8806966543197632,0.5667325854301453
40,0.46401465,0.43329293,0.5941674461760841,1e-06,0.9069153070449829,0.8784247040748596,0.5665453672409058
41,0.45695066,0.4267272,0.5950373915818553,1e-06,0.9085900783538818,0.8800927996635437,0.5674163699150085
42,0.46272263,0.43154097,0.5964274134117955,1e-06,0.9065803289413452,0.8780145645141602,0.5669350624084473
43,0.4723464,0.44167885,0.5935018220648598,1e-06,0.9040425419807434,0.8752704858779907,0.5675991177558899
44,0.45973137,0.42896482,0.5968926834603088,1e-06,0.9109407663345337,0.8822895884513855,0.5674295425415039
45,0.46657458,0.4356374,0.5949421397413308,1e-06,0.9103245139122009,0.8817939758300781,0.5679873824119568
46,0.4570432,0.42624736,0.598166064903759,1e-06,0.9104207158088684,0.8822143077850342,0.5663884282112122
47,0.46053755,0.42950737,0.5963076474948432,1e-06,0.9086553454399109,0.8801285028457642,0.566527247428894
48,0.45863697,0.42757276,0.5956180676484641,1e-06,0.908374547958374,0.8801299333572388,0.5676721334457397
49,0.45947725,0.42854047,0.597990242627482,1e-06,0.9093701839447021,0.8807591199874878,0.5665174722671509
